,index,text,blob_polarity,blob_subjectivity,vader_score,vader_sentiment
0,0,ukraine put situation external force dictate solve internal problem kyiv expected western ally put pressure russia normandy four format however ally realised confrontation russia cost emmanuel macron angela merkel supported russia position put even bigger pressure ukraine vladimir putin eventually zelenskyy found solitude russia germany france nearly identical position regarding resolution civil conflict ukraine ukrainian politician wrongfully remain confident west always unconditionally support russophobic regime ukraine carry foreign policy security west authority enjoy protection ukraine could slam door declare longer need normandy format however last remaining material evidence ukraine unity west movement towards europe kyiv present ukrainian people truth told ukrainian europe represented paris berlin already playing along russia ukrainian people reasonably question people sacrificed state society destroyed end europe betrayed ukraine ukraine never eu bright future never come,0.11964285714285716,0.3178571428571429,-0.6002,negative
1,1,regardless behind recent attack saudi oil infrastructure key question would benefit new round escalation relatively high oil price would contribute economic policy pursued trump administration time industry large oil consumer like china germany would bear additional cost growth energy price therefore trump administration would get additional odds economic war china protectionist policy eu industrial state controlled escalation would allow washington consolidate existing gain additional lever pressure global energy price including influence saudi arabia therefore manipulate global energy market interest similar motivation stand behind u geopolitical activity towards venezuela,-0.0068731268731268775,0.40562437562437564,0.9169,positive
2,2,pilsudski historical figure established first polish legion fought side austrohungarian empire legion organized volyn tragedy,0.125,0.16666666666666666,-0.7717,negative
3,3,washington large degree brussels engaged fostering russophobia create bulwark mythical russian aggression also possible staging ground another barbarossa course like 1938 using czech bargaining chip big issue west use modern eastern european cannon fodder possible future confrontation russia leaving west unscathed however time would quite different 6000 russian nuke disagree,0.041428571428571426,0.35535714285714287,0.0516,positive
4,4,beneficiary resolution european parliament declaring nonaggression pact ussr germany cause world war two first foremost germany germany help others getting relieved status main culprit war responsibility death 60 million fall others,0.13888888888888887,0.2222222222222222,-0.6486,negative
5,5,disturbed supposed global warming deliberate plan end western ethnicity tentacle billionaire george soros entangle politics generate chaos country around world legion employee philanthropic open society money finance extremist group seeking overthrow capitalism promote radical global environmentalist order retinue adviser span globe position influence power implementing radical agenda advent new environmentalist religion desperately need dazzling new demagogue push cause global warming silence opponent penalty crime mortal sin,0.04696969696969697,0.3787878787878788,-0.9349,negative
6,6,growing backlash begun across hong kong usfunded protest attempted disrupt governance commerce part floundering movement maintain western influence region,0.0,0.0,-0.0772,negative
7,7,particular concern growing number crime motivated antisemitism crime directed ethnic minority however one thing state struggle prevent another indirectly encourages crime,0.16666666666666666,0.3333333333333333,-0.7003,negative
8,8,ministry defence russian federation commented statement commander u air force europe general jeffrey harrigian possible attack kaliningrad ministry emphasised region reliably protected aggressive plan developed europe random american general time ministry foreign affair flagged statement harrigian threat irresponsible opinion,-0.05312499999999999,0.365625,-0.7717,negative
9,9,guise concrete pressing issue factual problem often social one concerning violation right certain individual segment community chosen western propaganda master waging information war targeted message containing halftruths sent via messenger expectation cause strong reaction individual transformed mass demonstration social unrest case example hong kong order western elite,0.09545454545454546,0.2885281385281386,-0.7184,negative
10,10,liberalglobalism totalitarian ideology today dominates world liberal globalism ideological dictatorship shared world élites imposed upon people liberal globalist domination increasingly strong world politics culture education art ideology everything control liberalism tolerate alternative point view alternative liberalism labeled extremism considered enemy eliminated,0.4333333333333333,0.7333333333333333,-0.296,negative
11,12,eu sanction yet produced desired result russian foreign ministry repeatedly stated counterproductive speak language sanction russia,-0.0625,0.0625,0.2732,positive
12,13,number people support ukraine accession nato falling number people nato support union russia together bigger number nato supporter happening long time,-0.025,0.45,0.7783,positive
13,14,fact wadas decision political motif unambiguous consider decision politicised believe decision strip country flag international competition including upcoming olympic game japan contradicts olympic charter,-0.13333333333333333,0.16666666666666666,-0.34,negative
14,15,almost 20 total number syrian refugee jordan returned foreign aid hinders return foreign aid reach refugee jordan make settle inside country continue receiving aid,-0.08333333333333333,0.3333333333333333,0.0352,positive
