Word,Count
russia,930
ukraine,834
ukrainian,588
russian,541
nato,320
eu,292
country,291
state,263
european,243
europe,229
war,227
people,212
military,183
west,179
president,171
donbas,168
crimea,167
american,164
attack,163
election,143
syria,133
new,128
nbsp,125
world,120
government,120
western,114
force,111
weapon,102
sanction,97
chemical,96
kyiv,94
poland,93
medium,90
terrorist,90
conflict,89
belarus,89
order,88
czech,82
republic,82
eastern,81
german,80
political,79
germany,78
union,78
part,77
border,77
baltic,76
united,75
georgia,74
isi,74
poroshenko,74
coup,73
usa,73
migrant,72
army,70
region,70
power,69
service,68
washington,66
trend,64
moscow,63
authority,63
security,63
right,63
week,63
nuclear,62
member,62
moldova,61
territory,61
brussels,61
white,59
provocation,59
soldier,59
foreign,58
nazi,58
international,58
operation,58
helmet,58
citizen,56
preparing,55
case,55
belarusian,55
polish,54
mh,54
evidence,54
trump,53
putin,53
plan,53
regime,53
antirussian,53
according,52
group,52
secret,52
agreement,51
turkey,51
law,50
syrian,49
british,49
system,49
national,49
