Unnamed: 0,topics
0,"put, ukraine, people, russia, ukrainian"
1,"oil, trump, would, price, additional"
2,"established, polish, side, tragedy, volyn"
3,"fostering, possible, west, european, russian"
4,"germany, getting, war, world, others"
5,"cause, radical, warming, new, global"
6,"movement, attempted, kong, western, part"
7,"thing, concern, ethnic, crime, prevent"
8,"general, europe, ministry, statement, harrigian"
9,"expectation, message, unrest, information, social"
10,"liberal, alternative, ideology, world, liberalism"
11,"imposed, eliminated, education, world, control"
12,"sanction, ministry, produced, yet, russia"
13,"union, number, ukraine, nato, time"
14,"consider, olympic, upcoming, including, decision"
15,"jordan, aid, foreign, refugee, settle"
16,"hand, see, support, war, nuclear"
17,"differs, big, russian, value, civilization"
18,"big, russian, russia, value, civilization"
19,"germany, nonaggression, meps, august, began"
20,"mine, removed, fascist, also, liberated"
21,"intention, person, received, team, citizen"
22,"estonia, eu, moscow, washington, nato"
23,"enemy, say, city, tallinn, actually"
24,"flag, chemical, attack, weapon, false"
25,"syrian, published, white, provocation, shaykhun"
26,"nothing, induce, russia, czech, aimed"
27,"commander, conflict, statement, mean, force"
28,"fascism, europe, blow, european, one"
29,"monument, tribute, authority, estonian, emblem"
30,"demonisation, united, connected, growing, political"
31,"demonisation, internal, connected, russia, political"
32,"demonisation, internal, connected, russia, political"
33,"process, united, internal, connected, political"
34,"state, connected, growing, russia, political"
35,"demonisation, process, united, internal, political"
36,"demonisation, process, internal, connected, russia"
37,"sent, british, army, suppress, whose"
38,"obstacle, allowed, cooperation, russia, full"
39,"lithuania, resolution, nazism, pact, level"
40,"service, revealed, security, region, fsb"
41,"germany, step, nazi, never, nonaggression"
42,"ussr, step, hundred, never, save"
43,"french, politician, accused, western, including"
44,"oil, attack, former, saudi, effort"
45,"possible, putin, russia, regional, election"
46,"loss, putin, navalny, russia, election"
47,"plan, moldova, ukrainian, support, transit"
48,"plan, gas, russia, chisinau, ukrainian"
49,"passport, existence, way, ukrainian, americanisation"
50,"thought, eu, court, direction, european"
51,"boeing, antiaircraft, buk, russian, hit"
52,"parliament, poland, polish, european, political"
53,"memory, resolution, territory, way, european"
54,"resolution, way, european, russian, memorial"
55,"professional, forward, world, ally, revolution"
56,"select, navalny, year, revolution, election"
57,"nectarine, embargo, russian, million, production"
58,"intermarium, polish, ukraine, ukrainian, belarus"
59,"president, interfering, france, sputnik, numerous"
60,"hand, history, uk, right, britain"
61,"western, washington, ci, religion, part"
62,"come, poland, dictate, polish, britain"
63,"west, kong, china, russia, hong"
64,"speed, operational, goal, russia, north"
65,"preparation, preparing, kyiv, transit, obvious"
66,"mark, ussr, assault, september, liberated"
67,"europe, dutyfree, enter, ukraine, time"
68,"rightly, sanction, initiative, advocate, congress"
69,"west, suddenly, opponent, role, network"
70,"europe, trying, would, bln, transit"
71,"interest, serve, gas, ukrainian, revolution"
72,"system, transmission, environmental, gas, due"
73,"sign, anything, war, want, problem"
74,"poland, ussr, polish, warsaw, border"
75,"recognition, beyond, position, hence, global"
76,"put, still, russia, willing, new"
77,"poland, become, forward, russia, fight"
78,"defence, war, task, russia, agency"
79,"event, fascist, soviet, moscow, one"
80,"municipal, towards, prague, ondřej, kolář"
81,"outrage, violates, cooperation, czech, according"
82,"president, borough, local, prague, grateful"
83,"elite, someone, european, el, political"
84,"foundation, endowment, named, society, carnegie"
85,"court, echr, make, believe, expressed"
86,"change, human, economics, conservative, according"
87,"affiliation, ukraine, country, still, force"
88,"discontent, among, aim, since, regime"
89,"remember, poland, pact, example, signed"
90,"status, legal, russian, agency, international"
91,"concerning, limitation, pipeline, made, decision"
92,"bad, saying, useless, let, another"
93,"reality, echr, rewriting, human, european"
94,"leader, admit, involve, pressure, affair"
95,"civilian, human, right, russian, russia"
96,"held, precisely, serbia, northern, past"
97,"russophobia, state, west, russian, belarus"
98,"united, give, throw, russia, credit"
99,"yanukovych, left, coup, donetsk, ukraine"
100,"nature, advisory, brexit, created, time"
101,"economic, region, kharkiv, willing, part"
102,"exercise, sharp, ring, encirclement, another"
103,"ussr, empire, britain, russian, british"
104,"apologise, serbian, never, army, claimed"
105,"compensation, serbian, pay, forget, claimed"
106,"state, apologise, event, never, claimed"
107,"apologise, united, never, bombing, around"
108,"compensation, apologise, pay, never, around"
109,"material, deescalation, tahrir, allegation, alsham"
110,"preparation, civilian, attack, medium, part"
111,"civilian, idlib, using, group, zone"
112,"middle, civilian, idlib, western, purpose"
113,"merkel, europe, antirussian, form, coalition"
114,"hawk, pressure, continues, trump, antiiranian"
115,"estonia, germany, statement, country, ally"
116,"taboo, beacon, much, cannibalism, human"
117,"plan, separate, brussels, obama, administration"
118,"already, clause, agreement, russia, integration"
119,"united, past, position, boast, independence"
120,"coup, read, network, social, one"
121,"strength, united, understands, russia, political"
122,"zelenskyy, decentralized, therefore, ukrainian, force"
123,"flesh, climate, human, eating, according"
124,"attention, unison, worked, welle, one"
125,"became, referendum, crimea, russia, march"
126,"ukraine, détat, coup"
127,"see, big, laboratory, russia, control"
128,"threat, promotion, country, russian, baltic"
129,"sanction, former, economy, russian, one"
130,"proof, report, contains, speculative, election"
131,"external, orbit, pressure, serbia, guarantee"
132,"strategy, war, proxy, player, global"
133,"secret, food, developing, weapon, biological"
134,"georgia, challenge, defies, government, nurtured"
135,"apart, eu, uk, never, country"
136,"change, maidan, ukraine, russia, affair"
137,"globalist, apparatus, antireligion, take, luciferian"
138,"forward, east, goal, border, main"
139,"attack, yet, could, saudi, israel"
140,"defense, clearly, country, ukrainian, announced"
141,"west, mh, series, continues, important"
142,"europe, ecumenical, patriarchate, example, constantinople"
143,"sanction, openly, russia, opposition, part"
144,"europe, traditional, influence, goal, supporter"
145,"antirussian, yes, strategy, president, yalta"
146,"antirussian, opposed, yalta, volodymyr, sauli"
147,"strategy, yalta, volodymyr, ukrainian, finland"
148,"future, created, graveyard, nuclear, new"
149,"urgently, high, contract, supply, gas"
150,"place, favour, took, crimea, citizen"
151,"collapse, blown, wtc, professionally, collapsed"
152,"georgia, recognize, nato, abkhazia, independence"
153,"released, go, russia, ukrainian, kerch"
154,"president, ukraine, since, punish, thus"
155,"europe, preventing, country, another, one"
156,"popular, region, donbas, two, ukrainian"
157,"launch, campaign, republic, ukrainian, new"
158,"ukrainian, arose, donbas, region, new"
159,"popular, region, donbas, ukrainian, new"
160,"ukrainian, arose, donbas, region, problem"
161,"mostly, russianspeaking, confront, republic, ukrainian"
162,"capital, ukrainian, donbas, two, region"
163,"region, establishment, opponent, donbas, ukrainian"
164,"ukrainian, coup, opponent, donbas, region"
165,"russianspeaking, republic, region, problem, supported"
166,"launch, region, donbas, ukrainian, new"
167,"region, arose, donbas, campaign, ukrainian"
168,"mostly, russianspeaking, new, kyiv, problem"
169,"ukrainian, confront, region, response, regime"
170,"rejected, popular, region, ukrainian, new"
171,"ukrainian, coup, donbas, region, regime"
172,"rejected, mostly, coup, ukrainian, supported"
173,"return, syrian, west, refugee, syria"
174,"centre, lazy, colonel, training, problem"
175,"centre, lazy, call, training, main"
176,"lazy, drunk, training, main, ukrainian"
177,"colonel, greedy, drunk, training, yavoriv"
178,"centre, colonel, greedy, ukrainian, problem"
179,"drunk, main, ukrainian, problem, yavoriv"
180,"drunk, training, military, main, problem"
181,"lazy, call, drunk, main, ukrainian"
182,"lazy, colonel, greedy, military, yavoriv"
183,"call, greedy, training, american, main"
184,"centre, training, american, ukrainian, problem"
185,"colonel, call, american, main, yavoriv"
186,"antirussian, need, order, ukraine, belarus"
187,"europe, ukraine, nato, relation, problem"
188,"sanction, vote, european, russia, ie"
189,"russophobia, united, part, used, throughout"
190,"germany, poland, ussr, italy, military"
191,"stage, evidence, participation, american, others"
192,"treaty, agreement, american, violated, pretext"
193,"policy, distortion, good, therefore, boris"
194,"uk, union, empire, european, hitler"
195,"liberal, order, result, world, international"
196,"historical, event, change, wwii, goal"
197,"state, imposed, authority, poland, russian"
198,"involvement, biased, crash, russia, unilateral"
199,"ussr, situation, favour, people, share"
200,"contradiction, russian, case, ambiguity, sergei"
201,"west, definition, unconditionally, external, ukraine"
202,"eu, agreement, armed, opposition, signed"
203,"power, name, recent, program, nuclear"
204,"enlisted, russian, rid, ukrainian, soldier"
205,"colonialism, established, american, new, realize"
206,"silent, nazi, western, eastern, created"
207,"state, come, united, farther, literally"
208,"war, civil, ukraine, russia, ukrainian"
209,"luhansk, unleashed, donbas, kyiv, independence"
210,"soviet, foreign, alliance, prevented, affair"
211,"evidence, supplied, dutchled, latter, jit"
212,"much, hundred, russian, russia, soldier"
213,"conspiracy, theory, truth, invented, term"
214,"space, command, creating, outer, militarize"
215,"interest, conflict, kongs, work, hong"
216,"accident, circumstance, provisional, result, team"
217,"never, cybercrime, implicated, russia"
218,"politician, western, never, myth, russia"
219,"meddle, presidential, russia, proven, election"
220,"western, never, medium, tried, election"
221,"claim, meddle, myth, russia, perpetrated"
222,"claim, western, myth, presidential, election"
223,"climate, human, activity, environmental, wildfire"
224,"georgia, occupied, giving, weapon, key"
225,"lithuania, designed, energy, posed, nuclear"
226,"lithuania, power, plant, nuclear, neighbouring"
227,"state, pushing, led, baltic, closing"
228,"uk, assistance, ignored, skripals, russia"
229,"fullscale, war, american, goal, allow"
230,"policy, samachablo, october, rule, part"
231,"leader, president, poland, country, democracy"
232,"tragedy, mh, ukraine, side, russia"
233,"remains, war, ukraine, goal, political"
234,"true, high, american, gas, russia"
235,"engaged, rewriting, putin, key, obvious"
236,"state, nbsp, american, gas, using"
237,"united, poland, system, take, gas"
238,"fearing, nbsp, erase, ukraine, nuclear"
239,"recognised, nbsp, threat, ukraine, nuclear"
240,"nbsp, leadership, threat, ukraine, nuclear"
241,"state, federation, moscow, russian, nato"
242,"eu, nbsp, banderovtsi, russia, kyiv"
243,"wada, made, russia, decision, political"
244,"assassinating, intelligence, prince, also, confessed"
245,"event, warsaw, world, campaign, beginning"
246,"nbsp, february, captured, coup, organised"
247,"state, nbsp, antirussia, ukraine, anything"
248,"five, paragraph, protocol, year, kyiv"
249,"state, mentally, like, politician, ill"
250,"external, ukraine, project, russia, ukrainian"
251,"poland, ussr, agreement, western, hitler"
252,"interest, nbsp, ukraine, jit, due"
253,"consisting, mh, yet, neutral, tragedy"
254,"consisting, established, netherlands, fully, tragedy"
255,"enemy, nbsp, russian, many, nato"
